Bin,Content,X,Y,Depth,Mode,Type
100483,10,32,33,430,GRID,330mm
100484,10,30,11,760,GRID,330mm
100485,10,23,26,760,GRID,330mm
100486,10,36,29,98,GRID,330mm
100487,10,38,30,100,GRID,330mm
100488,10,30,33,98,GRID,330mm
100489,10,28,43,428,GRID,330mm
100490,10,40,29,96,GRID,330mm
100491,10,39,10,426,GRID,330mm
100492,10,18,12,428,GRID,330mm
100493,10,34,31,96,GRID,330mm
100494,10,34,9,756,GRID,330mm
100495,10,26,43,1092,GRID,330mm
100496,10,40,33,98,GRID,330mm
100497,10,38,43,98,GRID,330mm
100498,10,38,10,94,GRID,330mm
100499,10,38,23,100,GRID,330mm
100500,11,24,32,428,GRID,330mm
100501,11,16,36,428,GRID,330mm
100502,11,7,10,430,GRID,330mm
100503,10,30,24,96,GRID,330mm
100504,11,33,18,98,GRID,330mm
100505,10,31,35,760,GRID,330mm
100506,10,38,14,760,GRID,330mm
100507,10,38,10,426,GRID,330mm
100508,10,18,43,760,GRID,330mm
100509,10,30,10,430,GRID,330mm
100510,10,21,13,430,GRID,330mm
100511,10,35,9,758,GRID,330mm
100512,11,15,8,432,GRID,330mm
100513,11,28,9,430,GRID,330mm
100514,10,15,18,432,GRID,330mm
100515,11,20,38,430,GRID,330mm
100516,10,32,14,1092,GRID,330mm
100517,10,11,15,1426,GRID,330mm
100518,10,32,17,760,GRID,330mm
100519,10,23,19,760,GRID,330mm
100520,10,35,22,98,GRID,330mm
100521,10,27,24,760,GRID,330mm
100522,11,12,20,432,GRID,330mm
100523,11,21,11,428,GRID,330mm
100524,10,9,17,1092,GRID,330mm
100525,10,28,11,1426,GRID,330mm
100526,10,34,24,762,GRID,330mm
100527,10,39,37,430,GRID,330mm
100528,10,30,21,1094,GRID,330mm
100529,10,39,31,428,GRID,330mm
100530,10,36,29,428,GRID,330mm
100531,10,7,29,1094,GRID,330mm
100532,10,6,39,758,GRID,330mm
100533,10,29,16,1094,GRID,330mm
100534,10,13,15,2090,GRID,330mm
100535,10,37,13,98,GRID,330mm
100536,10,36,15,764,GRID,330mm
100537,10,38,25,762,GRID,330mm
100538,10,17,19,1756,GRID,330mm
