Bin	Content	X	Y	Depth	Mode
100622	10	173	112	5098	GRID
100623	10	182	100	4760	GRID
100624	10	177	111	5100	GRID
100625	10	148	97	5098	GRID
100626	10	176	121	5100	GRID
100627	10	174	117	5098	GRID
100628	10	159	97	5100	GRID
100629	10	178	117	5098	GRID
100630	10	177	99	4758	GRID
100631	10	177	119	5102	GRID
100632	10	174	115	5100	GRID
100633	10	147	94	5100	GRID
100634	10	187	107	4760	GRID
100635	10	175	114	5100	GRID
100636	10	174	97	4760	GRID
100637	10	181	121	5100	GRID
100638	10	172	120	5098	GRID
100639	10	182	93	4758	GRID
100640	10	46	102	4084	GRID
100641	10	42	99	5098	GRID
100642	10	59	110	3746	GRID
100643	10	45	101	1406	GRID
100644	10	33	93	3746	GRID
100645	10	188	117	1418	GRID
100646	10	40	99	2412	GRID
100647	10	42	98	406	GRID
100648	10	34	92	5100	GRID
100649	10	36	92	3748	GRID
100650	10	33	93	742	GRID
100651	10	55	107	4084	GRID
100652	10	40	99	5100	GRID
100653	10	32	94	3748	GRID
100654	10	146	119	92	GRID
100655	10	40	99	1742	GRID
100656	10	36	92	84	GRID
100657	10	33	94	1746	GRID
100658	10	40	99	2074	GRID
100659	10	58	110	3076	GRID
100660	10	163	120	1086	GRID
100661	10	39	98	3080	GRID
100662	10	54	106	4424	GRID
100663	10	70	99	420	GRID
100664	10	43	99	4420	GRID
100665	10	53	103	3750	GRID
100666	10	45	100	2080	GRID
100667	10	28	94	5098	GRID
100668	11	146	116	90	GRID
100669	10	57	108	740	GRID
100670	10	53	103	4088	GRID
100671	10	182	99	4760	GRID
100672	10	148	92	4762	GRID
100673	10	185	108	4760	GRID
100674	10	185	110	4762	GRID
100675	10	59	110	3074	GRID
100676	10	37	96	1740	GRID
100677	10	32	95	5098	GRID
100678	10	56	107	2408	GRID
100679	10	44	100	4084	GRID
100680	10	193	99	1414	GRID
100681	10	43	99	3748	GRID
100682	10	41	99	1410	GRID
100683	10	46	101	742	GRID
100684	10	185	109	4762	GRID
100685	10	130	98	5098	GRID
100686	10	184	114	4760	GRID
100687	10	139	97	5100	GRID
100688	10	185	117	4760	GRID
100689	10	187	102	4758	GRID
100690	10	180	120	5098	GRID
100691	10	132	98	5098	GRID
100692	10	183	102	4758	GRID
100693	10	185	98	4422	GRID
100694	10	142	99	5100	GRID
100695	10	121	92	5096	GRID
100696	10	147	93	4420	GRID
100697	10	187	103	4758	GRID
100698	10	179	106	4760	GRID
100699	10	123	98	5098	GRID
100700	10	150	107	5100	GRID
100701	10	184	94	4424	GRID
100702	10	181	119	5098	GRID
100703	10	161	95	4762	GRID
100704	10	161	101	5100	GRID
100705	10	178	115	5098	GRID
100706	10	134	92	5098	GRID
100707	10	122	98	5098	GRID
100708	10	159	115	5100	GRID
100709	10	185	112	4760	GRID
100710	10	186	106	4760	GRID
100711	10	184	105	4760	GRID
100712	10	185	113	4760	GRID
100713	10	184	103	4758	GRID
100714	10	181	102	4758	GRID
100715	10	183	100	4760	GRID
100716	10	180	118	5098	GRID
100717	10	145	99	5100	GRID
100718	10	173	111	5102	GRID
100719	10	162	100	5098	GRID
100720	10	174	104	5100	GRID
100721	10	177	120	5098	GRID
100722	10	179	113	5098	GRID
100723	10	172	103	5094	GRID
100724	10	164	100	5098	GRID
100725	10	142	94	5098	GRID
100726	10	175	103	5098	GRID
100727	10	174	97	5098	GRID
100728	10	177	105	5096	GRID
100729	10	173	95	4760	GRID
100730	10	175	95	4762	GRID
100731	10	178	118	5098	GRID
100732	10	175	101	5098	GRID
100733	10	129	98	5098	GRID
100734	10	151	106	5098	GRID
100735	10	172	95	5098	GRID
100736	10	175	97	5098	GRID
100737	10	142	95	5098	GRID
100738	10	175	112	5100	GRID
100739	10	175	105	5100	GRID
100740	10	177	106	5098	GRID
100741	10	176	99	4758	GRID
100742	10	174	102	5100	GRID
100743	10	174	98	5102	GRID
100744	10	177	97	4760	GRID
100745	10	175	107	5100	GRID
100746	10	177	94	5100	GRID
100747	10	177	107	5098	GRID
100748	10	179	107	5096	GRID
100749	10	175	106	5098	GRID
100750	10	176	94	5100	GRID
100751	10	178	98	5096	GRID
100752	10	177	100	4756	GRID
100753	10	175	109	5100	GRID
100754	10	178	105	5096	GRID
100755	10	174	107	5104	GRID
100756	10	174	106	5096	GRID
100757	10	176	98	5098	GRID
100758	10	40	113	5098	GRID
100759	10	39	111	4422	GRID
100760	10	23	100	2742	GRID
100761	10	34	114	3746	GRID
100762	10	24	100	1078	GRID
100763	10	23	100	3414	GRID
100764	10	51	92	4420	GRID
100765	10	27	97	746	GRID
100766	10	37	108	4424	GRID
100767	10	196	91	2746	GRID
100768	10	186	118	1744	GRID
100769	10	183	115	1090	GRID
100770	11	201	98	424	GRID
100771	10	167	116	3752	GRID
100772	10	162	117	4086	GRID
100773	10	167	112	1748	GRID
100774	11	132	106	90	GRID
100775	10	171	112	2086	GRID
100776	10	44	114	1740	GRID
100777	10	51	120	5098	GRID
100778	10	37	111	3748	GRID
100779	10	30	122	5096	GRID
100780	10	43	114	3746	GRID
100781	10	36	106	1078	GRID
100782	10	51	119	3748	GRID
100783	10	34	104	1410	GRID
100784	10	24	100	1742	GRID
100785	10	37	112	2078	GRID
100786	10	142	98	4760	GRID
100787	10	24	101	3078	GRID
100788	10	45	118	4086	GRID
100789	10	47	117	3750	GRID
100790	10	35	104	2074	GRID
100791	10	30	103	1078	GRID
100792	10	45	118	3752	GRID
100793	10	46	120	3412	GRID
100794	10	38	110	2074	GRID
100795	10	193	121	4758	GRID
100796	10	49	118	1412	GRID
100797	10	128	92	4084	GRID
100798	10	136	111	5100	GRID
100799	10	105	91	5096	GRID
100800	10	105	92	5098	GRID
100801	10	115	98	5096	GRID
